Object: person, Confidence: 99.41%, Distance: 0.54m
Object: person, Confidence: 99.22%, Distance: 0.50m
Object: person, Confidence: 99.32%, Distance: 1.51m
Object: person, Confidence: 99.41%, Distance: 1.46m
Object: person, Confidence: 99.41%, Distance: 0.49m
Object: person, Confidence: 99.32%, Distance: 0.54m
Object: person, Confidence: 99.41%, Distance: 0.48m
Object: person, Confidence: 99.51%, Distance: 0.48m
Object: person, Confidence: 99.22%, Distance: 0.52m
Object: person, Confidence: 99.32%, Distance: 0.46m
Object: person, Confidence: 99.32%, Distance: 0.47m
Object: person, Confidence: 99.41%, Distance: 0.47m
Object: person, Confidence: 99.22%, Distance: 0.48m
Object: person, Confidence: 99.51%, Distance: 0.48m
Object: person, Confidence: 99.61%, Distance: 0.46m
Object: person, Confidence: 99.61%, Distance: 0.47m
Object: person, Confidence: 99.61%, Distance: 0.47m
Object: person, Confidence: 99.51%, Distance: 0.47m
Object: person, Confidence: 99.61%, Distance: 0.48m
Object: person, Confidence: 99.51%, Distance: 0.47m
Object: person, Confidence: 99.02%, Distance: 0.48m
Object: person, Confidence: 99.12%, Distance: 0.48m
Object: person, Confidence: 99.32%, Distance: 0.47m
Object: person, Confidence: 99.32%, Distance: 0.47m
Object: person, Confidence: 98.83%, Distance: 0.48m
Object: person, Confidence: 98.93%, Distance: 0.48m
Object: person, Confidence: 98.93%, Distance: 0.48m
Object: person, Confidence: 99.12%, Distance: 0.48m
Object: person, Confidence: 98.83%, Distance: 0.48m
Object: person, Confidence: 98.73%, Distance: 0.49m
Object: person, Confidence: 98.54%, Distance: 0.48m
Object: person, Confidence: 98.39%, Distance: 0.49m
Object: person, Confidence: 98.93%, Distance: 0.49m
Object: person, Confidence: 98.93%, Distance: 0.48m
Object: person, Confidence: 98.93%, Distance: 0.49m
Object: person, Confidence: 99.02%, Distance: 0.49m
Object: person, Confidence: 98.93%, Distance: 0.48m
Object: person, Confidence: 98.73%, Distance: 0.49m
Object: person, Confidence: 99.12%, Distance: 0.48m
Object: person, Confidence: 98.73%, Distance: 0.49m
Object: person, Confidence: 98.83%, Distance: 0.48m
Object: person, Confidence: 98.93%, Distance: 0.48m
Object: person, Confidence: 99.02%, Distance: 0.56m
Object: person, Confidence: 99.02%, Distance: 0.56m
Object: person, Confidence: 98.54%, Distance: 0.53m
Object: person, Confidence: 99.32%, Distance: 0.50m
Object: person, Confidence: 99.41%, Distance: 0.50m
Object: person, Confidence: 99.12%, Distance: 0.54m
Object: person, Confidence: 99.22%, Distance: 0.53m
Object: person, Confidence: 98.44%, Distance: 0.52m
Object: person, Confidence: 98.93%, Distance: 0.50m
Object: person, Confidence: 99.32%, Distance: 0.49m
Object: person, Confidence: 99.12%, Distance: 0.50m
Object: person, Confidence: 99.22%, Distance: 0.56m
Object: person, Confidence: 99.32%, Distance: 0.57m
Object: person, Confidence: 99.22%, Distance: 1.03m
Object: person, Confidence: 99.22%, Distance: 0.78m
Object: person, Confidence: 99.22%, Distance: 0.83m
Object: person, Confidence: 99.12%, Distance: 0.78m
Object: person, Confidence: 99.32%, Distance: 0.92m
Object: person, Confidence: 99.02%, Distance: 0.60m
Object: person, Confidence: 99.02%, Distance: 0.67m
Object: person, Confidence: 99.41%, Distance: 0.66m
Object: person, Confidence: 99.41%, Distance: 0.59m
Object: person, Confidence: 99.32%, Distance: 0.60m
Object: person, Confidence: 99.41%, Distance: 0.50m
Object: person, Confidence: 99.32%, Distance: 0.53m
Object: person, Confidence: 99.22%, Distance: 0.49m
Object: person, Confidence: 98.93%, Distance: 0.56m
Object: person, Confidence: 99.22%, Distance: 0.52m
Object: person, Confidence: 98.73%, Distance: 0.55m
Object: person, Confidence: 99.22%, Distance: 0.52m
Object: person, Confidence: 99.22%, Distance: 0.59m
Object: person, Confidence: 99.22%, Distance: 0.50m
Object: person, Confidence: 98.73%, Distance: 0.48m
Object: person, Confidence: 98.83%, Distance: 0.54m
Object: person, Confidence: 99.12%, Distance: 0.52m
Object: person, Confidence: 99.12%, Distance: 0.50m
Object: person, Confidence: 99.22%, Distance: 0.61m
Object: person, Confidence: 98.63%, Distance: 0.67m
Object: person, Confidence: 99.32%, Distance: 1.84m
Object: person, Confidence: 99.71%, Distance: 1.57m
Object: person, Confidence: 99.61%, Distance: 1.63m
Object: person, Confidence: 99.51%, Distance: 1.37m
Object: person, Confidence: 99.61%, Distance: 1.25m
Object: person, Confidence: 99.61%, Distance: 1.15m
Object: person, Confidence: 99.71%, Distance: 1.41m
Object: person, Confidence: 99.61%, Distance: 1.03m
Object: person, Confidence: 99.71%, Distance: 1.57m
Object: person, Confidence: 99.71%, Distance: 1.11m
Object: person, Confidence: 99.71%, Distance: 1.28m
Object: person, Confidence: 99.71%, Distance: 1.28m
Object: person, Confidence: 99.71%, Distance: 1.15m
Object: person, Confidence: 99.71%, Distance: 1.41m
Object: person, Confidence: 99.61%, Distance: 1.46m
Object: person, Confidence: 99.51%, Distance: 1.28m
Object: person, Confidence: 99.51%, Distance: 1.32m
Object: person, Confidence: 99.61%, Distance: 1.41m
Object: person, Confidence: 99.32%, Distance: 1.25m
Object: person, Confidence: 99.51%, Distance: 1.32m
Object: person, Confidence: 99.51%, Distance: 1.57m
Object: person, Confidence: 99.41%, Distance: 1.32m
Object: person, Confidence: 99.51%, Distance: 1.18m
Object: person, Confidence: 99.51%, Distance: 1.51m
Object: person, Confidence: 99.32%, Distance: 1.32m
Object: person, Confidence: 99.41%, Distance: 1.06m
Object: person, Confidence: 99.61%, Distance: 1.28m
Object: person, Confidence: 99.41%, Distance: 1.51m
Object: person, Confidence: 99.51%, Distance: 1.28m
Object: person, Confidence: 99.51%, Distance: 1.37m
Object: person, Confidence: 99.41%, Distance: 1.57m
Object: person, Confidence: 99.41%, Distance: 1.25m
Object: person, Confidence: 99.51%, Distance: 1.15m
Object: person, Confidence: 99.41%, Distance: 1.63m
Object: person, Confidence: 99.41%, Distance: 1.09m
Object: person, Confidence: 99.51%, Distance: 1.41m
Object: person, Confidence: 99.41%, Distance: 1.15m
Object: person, Confidence: 99.41%, Distance: 1.37m
Object: person, Confidence: 99.41%, Distance: 1.69m
Object: person, Confidence: 99.61%, Distance: 1.32m
Object: person, Confidence: 99.41%, Distance: 1.25m
Object: person, Confidence: 99.41%, Distance: 1.46m
Object: person, Confidence: 99.41%, Distance: 1.41m
Object: person, Confidence: 99.32%, Distance: 1.01m
Object: person, Confidence: 99.51%, Distance: 1.09m
Object: person, Confidence: 99.51%, Distance: 0.99m
Object: person, Confidence: 99.61%, Distance: 1.09m
Object: person, Confidence: 99.41%, Distance: 1.57m
Object: person, Confidence: 99.61%, Distance: 1.37m
Object: person, Confidence: 99.51%, Distance: 1.18m
Object: person, Confidence: 99.32%, Distance: 1.32m
Object: person, Confidence: 99.51%, Distance: 1.09m
Object: person, Confidence: 98.73%, Distance: 1.28m
Object: person, Confidence: 98.83%, Distance: 1.25m
Object: person, Confidence: 98.63%, Distance: 1.32m
Object: person, Confidence: 98.83%, Distance: 0.77m
Object: person, Confidence: 98.10%, Distance: 0.80m
Object: person, Confidence: 98.29%, Distance: 0.56m
Object: person, Confidence: 98.73%, Distance: 0.51m
Object: person, Confidence: 98.19%, Distance: 0.49m
Object: person, Confidence: 98.63%, Distance: 0.48m
Object: person, Confidence: 98.29%, Distance: 0.47m
Object: person, Confidence: 98.19%, Distance: 0.47m
Object: person, Confidence: 99.12%, Distance: 0.47m
Object: person, Confidence: 98.39%, Distance: 0.47m
Object: person, Confidence: 98.00%, Distance: 0.47m
Object: person, Confidence: 98.83%, Distance: 0.47m
Object: person, Confidence: 98.73%, Distance: 0.47m
Object: person, Confidence: 99.22%, Distance: 0.47m
Object: person, Confidence: 98.00%, Distance: 0.47m
Object: person, Confidence: 98.19%, Distance: 0.47m
Object: person, Confidence: 98.93%, Distance: 0.49m
Object: person, Confidence: 98.39%, Distance: 0.92m
Object: person, Confidence: 82.37%, Distance: 0.62m
Object: person, Confidence: 98.00%, Distance: 0.71m
Object: person, Confidence: 96.44%, Distance: 0.60m
Object: person, Confidence: 96.97%, Distance: 0.58m
Object: person, Confidence: 95.17%, Distance: 0.56m
Object: person, Confidence: 94.48%, Distance: 0.65m
Object: person, Confidence: 94.53%, Distance: 0.52m
Object: person, Confidence: 96.97%, Distance: 0.49m
Object: person, Confidence: 98.73%, Distance: 0.49m
Object: person, Confidence: 98.44%, Distance: 0.48m
Object: person, Confidence: 98.83%, Distance: 0.48m
Object: person, Confidence: 99.32%, Distance: 0.49m
Object: person, Confidence: 99.32%, Distance: 0.50m
Object: person, Confidence: 99.22%, Distance: 0.50m
Object: person, Confidence: 98.93%, Distance: 0.50m
Object: person, Confidence: 98.93%, Distance: 0.50m
Object: person, Confidence: 98.19%, Distance: 0.69m
Object: person, Confidence: 96.97%, Distance: 0.71m
Object: person, Confidence: 97.61%, Distance: 0.53m
Object: person, Confidence: 98.63%, Distance: 0.59m
Object: person, Confidence: 97.31%, Distance: 0.49m
Object: person, Confidence: 97.51%, Distance: 0.50m
Object: person, Confidence: 98.63%, Distance: 0.51m
Object: person, Confidence: 97.90%, Distance: 0.50m
Object: person, Confidence: 97.07%, Distance: 0.50m
Object: person, Confidence: 98.19%, Distance: 0.54m
Object: person, Confidence: 98.39%, Distance: 0.52m
Object: person, Confidence: 97.90%, Distance: 0.52m
Object: person, Confidence: 97.90%, Distance: 0.52m
Object: person, Confidence: 97.31%, Distance: 0.51m
Object: person, Confidence: 98.54%, Distance: 0.50m
Object: person, Confidence: 98.00%, Distance: 0.52m
Object: person, Confidence: 98.29%, Distance: 0.52m
Object: person, Confidence: 96.04%, Distance: 0.50m
Object: person, Confidence: 98.54%, Distance: 0.49m
Object: person, Confidence: 96.34%, Distance: 0.50m
Object: person, Confidence: 98.44%, Distance: 0.49m
Object: person, Confidence: 99.51%, Distance: 0.50m
Object: person, Confidence: 99.61%, Distance: 0.50m
Object: person, Confidence: 99.61%, Distance: 0.65m
Object: person, Confidence: 99.12%, Distance: 0.49m
Object: person, Confidence: 99.61%, Distance: 0.49m
Object: person, Confidence: 99.41%, Distance: 0.49m
Object: person, Confidence: 99.12%, Distance: 0.45m
Object: person, Confidence: 98.44%, Distance: 0.45m
Object: person, Confidence: 98.83%, Distance: 0.46m
Object: person, Confidence: 99.12%, Distance: 0.45m
Object: person, Confidence: 98.19%, Distance: 0.45m
Object: person, Confidence: 94.73%, Distance: 0.45m
Object: person, Confidence: 88.28%, Distance: 0.45m
Object: person, Confidence: 90.92%, Distance: 0.45m
Object: person, Confidence: 96.53%, Distance: 0.45m
Object: person, Confidence: 97.31%, Distance: 0.45m
Object: person, Confidence: 98.19%, Distance: 0.45m
Object: person, Confidence: 94.63%, Distance: 0.45m
Object: person, Confidence: 95.07%, Distance: 0.45m
Object: person, Confidence: 91.16%, Distance: 0.45m
Object: person, Confidence: 94.29%, Distance: 0.45m
Object: person, Confidence: 98.39%, Distance: 0.45m
Object: person, Confidence: 96.78%, Distance: 0.45m
Object: person, Confidence: 96.78%, Distance: 0.45m
Object: person, Confidence: 95.26%, Distance: 0.45m
Object: person, Confidence: 97.80%, Distance: 0.45m
Object: person, Confidence: 98.73%, Distance: 0.45m
Object: person, Confidence: 93.51%, Distance: 0.45m
Object: person, Confidence: 97.51%, Distance: 0.45m
Object: person, Confidence: 97.17%, Distance: 0.45m
Object: person, Confidence: 94.29%, Distance: 0.45m
Object: person, Confidence: 94.92%, Distance: 0.45m
Object: person, Confidence: 94.53%, Distance: 0.45m
Object: person, Confidence: 83.20%, Distance: 0.45m
Object: person, Confidence: 87.50%, Distance: 0.45m
Object: person, Confidence: 83.45%, Distance: 0.45m
Object: person, Confidence: 74.71%, Distance: 0.45m
Object: tvmonitor, Confidence: 60.60%, Distance: 1.93m
Object: person, Confidence: 92.24%, Distance: 0.45m
Object: tvmonitor, Confidence: 67.24%, Distance: 1.84m
Object: person, Confidence: 94.29%, Distance: 0.45m
Object: person, Confidence: 93.02%, Distance: 0.46m
Object: person, Confidence: 95.61%, Distance: 0.46m
Object: person, Confidence: 94.14%, Distance: 0.46m
Object: tvmonitor, Confidence: 58.50%, Distance: 1.84m
Object: person, Confidence: 93.02%, Distance: 0.46m
Object: tvmonitor, Confidence: 61.52%, Distance: 1.84m
Object: person, Confidence: 90.23%, Distance: 0.46m
Object: tvmonitor, Confidence: 66.36%, Distance: 1.84m
Object: person, Confidence: 88.18%, Distance: 0.46m
Object: tvmonitor, Confidence: 59.47%, Distance: 1.93m
Object: person, Confidence: 90.38%, Distance: 0.46m
Object: person, Confidence: 89.65%, Distance: 0.46m
Object: tvmonitor, Confidence: 56.59%, Distance: 1.84m
Object: person, Confidence: 95.07%, Distance: 0.46m
Object: tvmonitor, Confidence: 60.01%, Distance: 1.84m
Object: person, Confidence: 92.92%, Distance: 0.46m
Object: tvmonitor, Confidence: 58.30%, Distance: 1.93m
Object: person, Confidence: 85.11%, Distance: 0.46m
Object: tvmonitor, Confidence: 67.04%, Distance: 1.93m
Object: person, Confidence: 86.57%, Distance: 0.46m
Object: tvmonitor, Confidence: 59.03%, Distance: 1.84m
Object: person, Confidence: 86.13%, Distance: 0.46m
Object: tvmonitor, Confidence: 73.73%, Distance: 1.84m
Object: person, Confidence: 88.67%, Distance: 0.46m
Object: tvmonitor, Confidence: 53.71%, Distance: 1.84m
Object: person, Confidence: 90.87%, Distance: 0.46m
Object: person, Confidence: 90.28%, Distance: 0.47m
Object: tvmonitor, Confidence: 50.39%, Distance: 1.84m
Object: person, Confidence: 89.36%, Distance: 0.46m
Object: person, Confidence: 84.23%, Distance: 0.46m
Object: person, Confidence: 91.65%, Distance: 0.46m
Object: person, Confidence: 90.72%, Distance: 0.46m
Object: tvmonitor, Confidence: 54.69%, Distance: 1.84m
Object: person, Confidence: 92.77%, Distance: 0.46m
Object: tvmonitor, Confidence: 59.62%, Distance: 1.84m
Object: person, Confidence: 95.90%, Distance: 0.46m
Object: person, Confidence: 97.07%, Distance: 0.46m
Object: tvmonitor, Confidence: 65.62%, Distance: 1.84m
Object: person, Confidence: 96.44%, Distance: 0.45m
